,reconstruction_error,Label_x,index,cpu_usage,memory_usage[kb],label,timestamp,timestamp1,Timestamp [ms],"	CPU cores","	CPU capacity provisioned [MHZ]","	CPU usage [MHZ]","	CPU usage [%]","	Memory capacity provisioned [KB]","	Memory usage [KB]","	Disk read throughput [KB/s]","	Disk write throughput [KB/s]","	Network received throughput [KB/s]","	Network transmitted throughput [KB/s]",Label_y
0,1.43E-05,0,1833,0.7,0,0,13766526761,13766526761,1376864798,4,11703.99824,81.92798768,0.7,67108864,0,0,0.533333333,0.066666667,1,0
1,1.48E-05,0,5721,0.6,0,0,13766527361,13766526861,1378033113,4,11703.99824,70.22398944,0.6,67108864,0,0,0.8,0,1,0
2,1.59E-05,0,6913,0.716666667,268435.2,0,13766527961,13766526961,1378390749,4,11703.99824,83.87865405,0.716666667,67108864,268435.2,32.66666667,3.933333333,0,1,0
3,1.42E-05,0,7719,0.716666667,0,0,13766528561,13766527061,1378632573,4,11703.99824,83.87865405,0.716666667,67108864,0,0,1,0,1,0
4,1.48E-05,0,7397,0.6,0,0,13766529161,13766527161,1378535963,4,11703.99824,70.22398944,0.6,67108864,0,0,1,0,1,0
5,1.46E-05,0,1146,0.633333333,0,0,13766529761,13766527261,1376658676,4,11703.99824,74.12532219,0.633333333,67108864,0,0,1.2,0,1.066666667,0
6,1.45E-05,0,5990,0.666666667,0,0,13766530361,13766527361,1378113821,4,11703.99824,78.02665493,0.666666667,67108864,0,0,0.666666667,0,1,0
7,1.44E-05,0,7523,0.683333333,0,0,13766530961,13766527461,1378573766,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1,0,1,0
8,1.49E-05,0,3309,0.583333333,0,0,13766531561,13766527561,1377308253,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.733333333,0.133333333,1,0
9,1.43E-05,0,1447,0.7,0,0,13766532161,13766527661,1376748985,4,11703.99824,81.92798768,0.7,67108864,0,0,0.666666667,0,1,0
10,0.15787723,0,7168,1.216666667,20803746.4,0,13766532761,13766527761,1378467257,4,11703.99824,142.3986453,1.216666667,67108864,20803746.4,0,1,0,1,0
11,1.48E-05,0,7951,0.6,0,0,13766533361,13766527861,1378702179,4,11703.99824,70.22398944,0.6,67108864,0,0,1,0,1,0
12,1.51E-05,0,3631,0.55,0,0,13766533961,13766527961,1377405462,4,11703.99824,64.37199032,0.55,67108864,0,0,1.333333333,0,1.066666667,0
13,1.49E-05,0,684,0.583333333,0,0,13766534561,13766528061,1376520065,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1.333333333,0,1,0
14,1.53E-05,0,3921,0.5,0,0,13766535161,13766528161,1377492468,4,11703.99824,58.5199912,0.5,67108864,0,0,0.666666667,0,1,0
15,0.018972863,0,498,91.25,19908960.8,0,13766535761,13766528261,1376464259,4,11703.99824,10679.89839,91.25,67108864,19908960.8,0,6504,395.2,5.533333333,0
16,1.53E-05,0,3911,0.516666667,0,0,13766536361,13766528361,1377489469,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.533333333,0,1,0
17,1.51E-05,0,2354,0.55,0,0,13766536961,13766528461,1377021726,4,11703.99824,64.37199032,0.55,67108864,0,0,0.6,0,1,0
18,0.000264369,0,8125,89.95,9932110.133,0,13766537561,13766528561,1378754385,4,11703.99824,10527.74642,89.95,67108864,9932110.133,311.2666667,13567.53333,0,1.066666667,0
19,0.003921145,0,10,94.25,6308231.733,0,13766538161,13766528661,1376317846,4,11703.99824,11031.01834,94.25,67108864,6308231.733,0,1.4,0,1.6,0
20,1.50E-05,0,881,0.566666667,0,0,13766538761,13766528761,1376579170,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
21,0.001247456,0,8134,92.93333333,7874104.533,0,13766539361,13766528861,1378757085,4,11703.99824,10876.9157,92.93333333,67108864,7874104.533,6.466666667,4306.533333,0,1.466666667,0
22,1.49E-05,0,1854,0.583333333,0,0,13766539961,13766528961,1376871101,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.8,0,1,0
23,1.43E-05,0,7244,0.7,0,0,13766540561,13766529061,1378490059,4,11703.99824,81.92798768,0.7,67108864,0,0,1,0,1,0
24,1.41E-05,0,8383,0.75,0,0,13766541161,13766529161,1378831791,4,11703.99824,87.7799868,0.75,67108864,0,0,1.533333333,0.066666667,1.066666667,0
25,1.52E-05,0,3871,0.533333333,0,0,13766541761,13766529261,1377477468,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.466666667,0,1,0
26,1.53E-05,0,3899,0.5,0,0,13766542361,13766529361,1377485868,4,11703.99824,58.5199912,0.5,67108864,0,0,1,0,0.933333333,0
27,1.49E-05,0,1806,0.583333333,0,0,13766542961,13766529461,1376856697,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.6,0,1,0
28,1.47E-05,0,2109,0.616666667,0,0,13766543561,13766529561,1376947609,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.333333333,0,1,0
29,1.50E-05,0,1816,0.566666667,0,0,13766544161,13766529661,1376859697,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.6,0,1,0
30,1.53E-05,0,1704,0.5,0,0,13766544761,13766529761,1376826095,4,11703.99824,58.5199912,0.5,67108864,0,0,0.8,0,1,0
31,9.38E-06,0,7439,0.6,134217.6,0,13766545361,13766529861,1378548564,4,11703.99824,70.22398944,0.6,67108864,134217.6,0,0.8,0,1,0
32,1.45E-05,0,4730,0.65,0,0,13766545961,13766529961,1377735788,4,11703.99824,76.07598856,0.65,67108864,0,0,0.533333333,0,1,0
33,1.48E-05,0,119,0.6,0,0,13766546561,13766530061,1376350549,4,11703.99824,70.22398944,0.6,67108864,0,0,2.333333333,0,1.066666667,0
34,1.47E-05,0,2836,0.616666667,0,0,13766547161,13766530161,1377166340,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.333333333,0,1,0
35,1.45E-05,0,2054,0.65,0,0,13766547761,13766530261,1376931107,4,11703.99824,76.07598856,0.65,67108864,0,0,0.666666667,0,1,0
36,1.47E-05,0,3362,0.616666667,0,0,13766548361,13766530361,1377324155,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.333333333,0,1,0
37,1.43E-05,0,1258,0.7,0,0,13766548961,13766530461,1376692279,4,11703.99824,81.92798768,0.7,67108864,0,0,0.866666667,0,1,0
38,0.001716988,0,8083,90.66666667,6845101.867,0,13766549561,13766530561,1378741783,4,11703.99824,10611.62507,90.66666667,67108864,6845101.867,1315.8,7519.6,0,1,0
39,1.43E-05,0,5949,0.7,0,0,13766550161,13766530661,1378101520,4,11703.99824,81.92798768,0.7,67108864,0,0,0.6,0,1,0
40,1.48E-05,0,107,0.6,0,0,13766550761,13766530761,1376346948,4,11703.99824,70.22398944,0.6,67108864,0,0,1.533333333,0,1,0
41,1.48E-05,0,5647,0.6,0,0,13766551361,13766530861,1378010911,4,11703.99824,70.22398944,0.6,67108864,0,0,0.6,0,1,0
42,1.45E-05,0,4220,0.65,0,0,13766551961,13766530961,1377582476,4,11703.99824,76.07598856,0.65,67108864,0,0,0.6,0,1,0
43,1.46E-05,0,6746,0.633333333,0,0,13766552561,13766531061,1378340645,4,11703.99824,74.12532219,0.633333333,67108864,0,0,0.6,0,1,0
44,1.45E-05,0,536,0.666666667,0,0,13766553161,13766531161,1376475660,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1.333333333,0,1,0
45,1.44E-05,0,6434,0.683333333,0,0,13766553761,13766531261,1378247034,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1,0,1,0
46,1.50E-05,0,1642,0.566666667,0,0,13766554361,13766531361,1376807493,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.666666667,0,1,0
47,1.47E-05,0,2559,0.616666667,0,0,13766554961,13766531461,1377083232,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,1,0
48,1.47E-05,0,3580,0.616666667,0,0,13766555561,13766531561,1377390160,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,1,0
49,1.49E-05,0,1526,0.583333333,0,0,13766556161,13766531661,1376772687,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.533333333,0,1,0
50,1.44E-05,0,6251,0.683333333,0,0,13766556761,13766531761,1378192129,4,11703.99824,79.97732131,0.683333333,67108864,0,0,1,0,1,0
51,1.00E-05,0,8053,0.65,178956.8,0,13766557361,13766531861,1378732783,4,11703.99824,76.07598856,0.65,67108864,178956.8,0,1,0,1,0
52,1.50E-05,0,4743,0.566666667,0,0,13766557961,13766531961,1377739689,4,11703.99824,66.32265669,0.566666667,67108864,0,0,0.533333333,0,1,0
53,1.51E-05,0,2643,0.55,0,0,13766558561,13766532061,1377108435,4,11703.99824,64.37199032,0.55,67108864,0,0,0.6,0,1,0
54,0.000787977,0,7104,91.51666667,8053061.867,0,13766559161,13766532161,1378448055,4,11703.99824,10711.10906,91.51666667,67108864,8053061.867,0.133333333,15203.86667,1.066666667,335.4,0
55,1.45E-05,0,2611,0.65,0,0,13766559761,13766532261,1377098834,4,11703.99824,76.07598856,0.65,67108864,0,0,0.6,0,1,0
56,1.42E-05,0,6504,0.716666667,0,0,13766560361,13766532361,1378268038,4,11703.99824,83.87865405,0.716666667,67108864,0,0,0.666666667,0,1,0
57,1.47E-05,0,612,0.616666667,0,0,13766560961,13766532461,1376498462,4,11703.99824,72.17465581,0.616666667,67108864,0,0,1.333333333,0,1,0
58,1.45E-05,0,4504,0.666666667,0,0,13766561561,13766532561,1377667683,4,11703.99824,78.02665493,0.666666667,67108864,0,0,0.666666667,0,1,0
59,1.49E-05,0,4201,0.583333333,0,0,13766562161,13766532661,1377576776,4,11703.99824,68.27332307,0.583333333,67108864,0,0,0.533333333,0,1,0
60,1.43E-05,0,6179,0.7,0,0,13766562761,13766532761,1378170527,4,11703.99824,81.92798768,0.7,67108864,0,0,0.6,0,1,0
61,1.43E-05,0,8171,0.7,0,0,13766563361,13766532861,1378768185,4,11703.99824,81.92798768,0.7,67108864,0,0,1.266666667,0.066666667,1,0
62,1.50E-05,0,7775,0.566666667,0,0,13766563961,13766532961,1378649374,4,11703.99824,66.32265669,0.566666667,67108864,0,0,1,0,1,0
63,1.53E-05,0,2863,0.516666667,0,0,13766564561,13766533061,1377174441,4,11703.99824,60.47065757,0.516666667,67108864,0,0,0.866666667,0,1.066666667,0
64,1.44E-05,0,2954,0.683333333,0,0,13766565161,13766533161,1377201743,4,11703.99824,79.97732131,0.683333333,67108864,0,0,0.4,0,1,0
65,1.52E-05,0,4897,0.533333333,0,0,13766565761,13766533261,1377785891,4,11703.99824,62.42132395,0.533333333,67108864,0,0,0.666666667,0,1,0
66,1.49E-05,0,7764,0.583333333,0,0,13766566361,13766533361,1378646074,4,11703.99824,68.27332307,0.583333333,67108864,0,0,1,0,1,0
67,1.45E-05,0,6496,0.65,0,0,13766566961,13766533461,1378265637,4,11703.99824,76.07598856,0.65,67108864,0,0,0.666666667,0,1,0
68,1.45E-05,0,14,0.65,0,0,13766567561,13766533561,1376319046,4,11703.99824,76.07598856,0.65,67108864,0,0,1.333333333,0,1,0
69,1.47E-05,0,4722,0.616666667,0,0,13766568161,13766533661,1377733388,4,11703.99824,72.17465581,0.616666667,67108864,0,0,0.6,0,1,0
70,1.35E-05,0,7840,0.9,0,0,13766568761,13766533761,1378668876,4,11703.99824,105.3359842,0.9,67108864,0,131.3333333,14.4,0,1,0
71,1.45E-05,0,7656,0.666666667,0,0,13766569361,13766533861,1378613670,4,11703.99824,78.02665493,0.666666667,67108864,0,0,1,0,1,0
72,1.47E-05,0,7361,0.616666667,0,0,13766569961,13766533961,1378525162,4,11703.99824,72.17465581,0.616666667,67108864,0,0,1.666666667,0,1,0
